NUCLEAR OPTION ; Version 0.30.2 ; Data exported on 19/04/2025 8:58:53 AM
Type ; Name ; Display Name ; Is Turret ? ; Ammo ; WeaponName ; WeaponMass; Mount Mass ; Weapon RCS ; Mount RCS ; Weapon Drag ; Mount Drag ; Weapon Cost ; Mount Empty Cost ; Mount Total Cost
WeaponMount;ARM1_single;ARAD-116;False;1;ARAD-116;400;420;0.01;0.005;0.1;0.1;0.68;0;0.68
WeaponMount;gun_27mm_internal;27mm DP Ammunition;False;540;;0;278;0;0;0;0;0;0;0
WeaponMount;bomb_500_internal;GPO-500;False;1;GPO-500;500;510;0.15;0;0.1;0;0.02;0;0.02
WeaponMount;bomb_500_internalx2;GPO-500 x2;False;2;GPO-500;500;1020;0.15;0;0.1;0;0.02;0;0.04
WeaponMount;bomb_500_internalx4_flat;GPO-500 x4;False;4;GPO-500;500;2040;0.15;0;0.1;0;0.02;0;0.08
WeaponMount;bomb_500_internalx8;GPO-500 x8;False;8;GPO-500;500;4080;0.15;0;0.1;0;0.02;0;0.16
WeaponMount;bomb_500_single;GPO-500;False;1;GPO-500;500;510;0.15;0.075;0.1;0.3;0.02;0;0.02
WeaponMount;bomb_250_internalx3;PAB-250 x3;False;3;PAB-250;250;750;0.1;0;0.1;0;0.015;0;0.045
WeaponMount;bomb_250_single;PAB-250;False;1;PAB-250;250;260;0.1;0.05;0.1;0.2;0.015;0;0.015
WeaponMount;bomb_250_internal;PAB-250;False;1;PAB-250;250;250;0.1;0;0.1;0;0.015;0;0.015
WeaponMount;bomb_250_triple;PAB-250 x3;False;3;PAB-250;250;780;0.1;0.15;0.1;0.4;0.015;0;0.045
WeaponMount;bomb_demolition_internal;Demolition Bomb;False;1;Demolition Bomb;10000;10000;1;0;0.2;0;0.15;0;0.15
WeaponMount;bomb_glide1_single;PAB-80LR;False;1;PAB-80LR;125;130;0.01;0.005;-0.1;0.15;0.06;0;0.06
WeaponMount;bomb_glide1_triple;PAB-80LR x3;False;3;PAB-80LR;125;390;0.01;0.015;-0.1;0.45;0.06;0;0.18
WeaponMount;bomb_penetrator1;GPO-2P Auger;False;1;GPO-2P Auger;1000;1020;0.2;0.1;0.2;0.4;0.15;0;0.15
WeaponMount;bomb_penetrator1_internalx2;GPO-2P Auger x2;False;2;GPO-2P Auger;1000;2040;0.2;0;0.2;0;0.15;0;0.3
WeaponMount;bomb_penetrator1_internalx3;GPO-2P Auger x3;False;3;GPO-2P Auger;1000;3060;0.2;0;0.2;0;0.15;0;0.45
WeaponMount;CruiseMissile1_internal;ALM-C450;False;1;ALM-C450;900;900;0.005;0;0.3;0;1.5;0;1.5
WeaponMount;CruiseMissile1_internalx2;ALM-C450 x2;False;2;ALM-C450;900;1800;0.005;0;0.3;0;1.5;0;3
WeaponMount;CruiseMissile1_internalx4;ALM-C450 x4;False;4;ALM-C450;900;3600;0.005;0;0.3;0;1.5;0;6
WeaponMount;CruiseMissile1_internalx6;ALM-C450 x6;False;6;ALM-C450;900;5400;0.005;0;0.3;0;1.5;0;9
WeaponMount;CruiseMissile20kt_internalx2;ALND-4 (20kt) x2;False;2;ALND-4 (20kt);1280;3360;0.05;0;0.3;0;32;0;64
WeaponMount;gun_20mm_internal;20mm HE ammunition;False;750;;0;100;0;0;0;0;0;0;0
WeaponMount;gun_12.7mm_pod;12.7mm Gunpod;False;500;;0;100;0;0.008;0;0.05;0;0.008;0
WeaponMount;gun_20mm_pod;20mm gunpod;False;250;;0;200;0;0.01;0;0.05;0;0.02;0
WeaponMount;gun_25mm_trainer_pod;25mm gunpod;False;460;;0;400;0;0.003;0;0.05;0;0.2;0
WeaponMount;IRMS1_double;IRM-S1 x2;False;2;IRM-S1;10;40;0.01;0.008;0.5;0.06;0.04;0;0.08
WeaponMount;IRMS1_single;IRM-S1;False;1;IRM-S1;10;20;0.01;0.005;0.5;0.04;0.04;0;0.04
WeaponMount;JammingPod1;Radar Jamming Pod;False;1;;0;420;0;0.005;0;0.1;0;0.75;0
WeaponMount;laser_EW1;120kw High Energy Laser;False;1;;0;300;0;0;0;0.05;0;2.5;0
WeaponMount;nuclearBomb1_internal;GPO-N (1.5kt);False;1;GPO-N [1.5kt];400;400;0.2;0;0.1;0;28;0;28
WeaponMount;nuclearBomb1_internalx2;GPO-N (1.5kt) x2;False;2;GPO-N [1.5kt];400;800;0.2;0;0.1;0;28;0;56
WeaponMount;nuclearBomb1_internalx4;GPO-N (1.5kt) x4;False;4;GPO-N [1.5kt];400;1600;0.2;0;0.1;0;28;0;112
WeaponMount;nuclearBomb1_strategic_internal;GPO-N (250kt);False;1;GPO-N [250kt];400;400;0.2;0;0.1;0;28;0;28
WeaponMount;nuclearBomb1_strategic_internalx2;GPO-N (250kt) x2;False;2;GPO-N [250kt];400;800;0.2;0;0.1;0;28;0;56
WeaponMount;nuclearBomb1_strategic_internalx4;GPO-N (250kt) x4;False;4;GPO-N [250kt];400;1600;0.2;0;0.1;0;28;0;112
WeaponMount;Radome1;Radome;False;0;;0;3600;0;0.05;0;0.1;0;8.7;0
WeaponMount;RocketPod1_single;AGR-18 Lynchpin x7;False;7;AGR-18 Lynchpin;11;130;0.01;0.005;0.5;0.1;0.04;0.03;0.31
WeaponMount;RocketPod1_triple;AGR-18 Lynchpin x21;False;21;AGR-18 Lynchpin;11;290;0.01;0.008;0.5;0.24;0.04;0.09;0.93
WeaponMount;TailHook_Multirole1;Tail Hook;False;0;;0;50;0;0;0;0;0;0.002;0
WeaponMount;TailHook_Trainer;Tail Hook;False;0;;0;50;0;0;0;0.1;0;0.002;0
WeaponMount;gun_30mmHE_750_turret;30mm HE x750;False;750;;0;300;0;0;0;0;0;0;0
WeaponMount;AGM1_floorLauncher_QuadVTOL1;AGM-48 x20;False;20;AGM-48 ;50;1200;0.02;0;0.1;0;0.09;0;1.8
WeaponMount;turret_76mm_SideMount;76mm Cannon;True;500;;0;5000;0;0.1;0;0;0;2.2;0
WeaponMount;MunitionsContainerx2;Munitions Container x2;False;2;;0;20000;0;0;0;0;0;0;0
WeaponMount;turret_12.7mm_rotary;12.7mm Rotary Turret;True;1000;;0;300;0;0.1;0;0.1;0;0.6;0
WeaponMount;LightTruck1x2;LCV25 x2;False;2;;0;10000;0;0;0;0;0;0;0
WeaponMount;turret_25mm_flexpod;25mm Flex Mount Gunpod;True;250;;0;400;0;0.01;0;0.2;0;1.5;0
WeaponMount;6x6_1_APCx1;AFV6 APC;False;1;;0;20000;0;0;0;0;0;0;0
WeaponMount;6x6_1_AAx1;AFV6 AA;False;1;;0;20000;0;0;0;0;0;0;0
WeaponMount;6x6_1_ATx1;AFV6 AT;False;1;;0;20000;0;0;0;0;0;0;0
WeaponMount;6x6_1_IFVx1;AFV6 IFV;False;1;;0;20000;0;0;0;0;0;0;0
WeaponMount;bomb_250_internalx18;PAB-250 x18;False;18;PAB-250;250;4500;0.1;0;0.1;0;0.015;0;0.27
WeaponMount;NavalSupplyContainerx2;Naval Supply Container x2;False;2;;0;20000;0;0;0;0;0;0;0
WeaponMount;HLT-Rx1;HLT-R;False;1;;0;20000;0;0;0;0;0;0;0
WeaponMount;AShM2_single;AGM-99;False;1;AGM-99;450;515;0.02;0.01;0.1;0.12;0.78;0;0.78
WeaponMount;AShM2_double;AGM-99 x2;False;2;AGM-99;450;940;0.02;0.015;0.1;0.18;0.78;0;1.56
WeaponMount;AShM1_single;AShM-300;False;1;AShM-300;600;670;0.01;0.005;0;0.16;2;0;2
WeaponMount;AShM1_internal;AShM-300;False;1;AShM-300;600;670;0.01;0;0;0;2;0;2
WeaponMount;AShM1_internalx2;AShM-300 x2;False;2;AShM-300;600;1290;0.01;0;0;0;2;0;4
WeaponMount;AShM1_internalx4_flat;AShM-300 x4;False;4;AShM-300;600;2550;0.01;0;0;0;2;0;8
WeaponMount;AShM1_internalx6;AShM-300 x6;False;6;AShM-300;600;3820;0.01;0;0;0;2;0;12
WeaponMount;bomb_500_double;GPO-500 x2;False;2;GPO-500;500;1050;0.15;0.15;0.1;0.4;0.02;0;0.04
WeaponMount;bomb_250_internalx2;PAB-250 x2;False;2;PAB-250;250;500;0.1;0;0.1;0;0.015;0;0.03
WeaponMount;bomb_125_single;PAB-125;False;1;PAB-125;125;150;0.05;0.025;0.1;0.15;0.01;0;0.01
WeaponMount;bomb_125_double;PAB-125 x2;False;2;PAB-125;125;270;0.05;0.05;0.1;0.2;0.01;0;0.02
WeaponMount;bomb_125_triple;PAB-125 x3;False;3;PAB-125;125;400;0.05;0.075;0.1;0.3;0.01;0;0.03
WeaponMount;bomb_glide1_double;PAB-80LR x2;False;2;PAB-80LR;125;270;0.01;0.01;-0.1;0.2;0.06;0;0.12
WeaponMount;IRMS1_triple;IRM-S1 x3;False;3;IRM-S1;10;60;0.01;0.01;0.5;0.08;0.04;0;0.12
WeaponMount;AAM1_triple;MMR-S3 [IR] x3;False;3;MMR-S3[IR];100;300;0.01;0.015;0.1;0.18;0.36;0;1.08
WeaponMount;AAM2_triple;AAM-29 Scythe [R] x3;False;3;AAM-29 Scythe [R];160;510;0.01;0.015;0.1;0.2;0.89;0;2.67
WeaponMount;bomb_250_internalx8;PAB-250 x8;False;8;PAB-250;250;2000;0.1;0;0.1;0;0.015;0;0.12
WeaponMount;bomb_500_internalx6;GPO-500 x6;False;6;GPO-500;500;3060;0.15;0;0.1;0;0.02;0;0.12
WeaponMount;AShM1_internalx4_stack;AShM-300 x4;False;4;AShM-300;600;2550;0.01;0;0;0;2;0;8
WeaponMount;AGM_heavy_internalx6;AGM-68 x6;False;6;AGM-68;250;1560;0.05;0;0.1;0;0.12;0;0.72
WeaponMount;AGM1_triple;AGM-48 x3;False;3;AGM-48 ;50;180;0.02;0.012;0.1;0.18;0.09;0;0.27
WeaponMount;bomb_500_internalx4_stack;GPO-500 x4;False;4;GPO-500;500;2040;0.15;0;0.1;0;0.02;0;0.08
WeaponMount;bomb_500_internalx12;GPO-500 x12;False;12;GPO-500;500;6080;0.15;0;0.1;0;0.02;0;0.24
WeaponMount;CruiseMissile1_internalx3;ALM-C450 x3;False;3;ALM-C450;900;2700;0.005;0;0.3;0;1.5;0;4.5
WeaponMount;gun_20mm_internal_500;20mm HE ammunition;False;500;;0;100;0;0;0;0;0;0;0
WeaponMount;SpecialFlarePod;Special Flare Pod;False;1000;;0;200;0;0.01;0;0.01;0;0.1;0
WeaponMount;AIR-2_Genie_single;AIR-2 Genie;False;1;;0;400;0;0;0;0.2;0;0;0
WeaponMount;AGM1_double_compact;AGM-48 x2;False;2;AGM-48 ;50;120;0.02;0.01;0.1;0.12;0.09;0;0.18
WeaponMount;AGM_heavy_internalx2;AGM-68 x2;False;2;AGM-68;250;520;0.05;0;0.1;0;0.12;0;0.24
WeaponMount;bomb_125_internalx2_line;PAB-125 x2;False;2;PAB-125;125;250;0.05;0;0.1;0;0.01;0;0.02
WeaponMount;bomb_125_internalx2;PAB-125 x2;False;2;PAB-125;125;250;0.05;0;0.1;0;0.01;0;0.02
WeaponMount;bomb_125_internalx4;PAB-125 x4;False;4;PAB-125;125;500;0.05;0;0.1;0;0.01;0;0.04
WeaponMount;bomb_125_internalx6;PAB-125 x6;False;6;PAB-125;125;750;0.05;0;0.1;0;0.01;0;0.06
WeaponMount;bomb_125_quad;PAB-125 x4;False;4;PAB-125;125;540;0.05;0.075;0.1;0.25;0.01;0;0.04
WeaponMount;AAM3_single_internal;IRM-S2 [IR];False;1;IRM-S2[IR];60;60;0.01;0;0.1;0;0.18;0;0.18
WeaponMount;AAM3_double_internal;IRM-S2 [IR] x2;False;2;IRM-S2[IR];60;120;0.01;0;0.1;0;0.18;0;0.36
WeaponMount;AAM3_triple_internal_flat;IRM-S2 [IR] x3;False;3;IRM-S2[IR];60;180;0.01;0;0.1;0;0.18;0;0.54
WeaponMount;AAM3_triple_internal_compact;IRM-S2 [IR] x3;False;3;IRM-S2[IR];60;180;0.01;0;0.1;0;0.18;0;0.54
WeaponMount;AAM3_quad_internal;IRM-S2 [IR] x4;False;4;IRM-S2[IR];60;240;0.01;0;0.1;0;0.18;0;0.72
WeaponMount;AAM3_single;IRM-S2 [IR];False;1;IRM-S2[IR];60;60;0.01;0.005;0.1;0.04;0.18;0;0.18
WeaponMount;AAM4_single;AAM-36 Scimitar [R];False;1;AAM-36 Scimitar [R];200;210;0.01;0.007;0.1;0.075;2.1;0;2.1
WeaponMount;AAM4_double;AAM-36 Scimitar [R] x2;False;2;AAM-36 Scimitar [R];200;440;0.01;0.01;0.1;0.15;2.1;0;4.2
WeaponMount;AAM4_single_internal;AAM-36 Scimitar [R];False;1;AAM-36 Scimitar [R];200;200;0.01;0;0.1;0;2.1;0;2.1
WeaponMount;AAM4_double_internal;AAM-36 Scimitar [R];False;2;AAM-36 Scimitar [R];200;400;0.01;0;0.1;0;2.1;0;4.2
WeaponMount;AShM3_internalx2;AShM-200 x2;False;2;AShM-200;650;1300;0.07;0;0.1;0;0.55;0;1.1
WeaponMount;AShM3_internalx4_stack;AShM-200 x4;False;4;AShM-200;650;2600;0.07;0;0.1;0;0.55;0;2.2
WeaponMount;AShM3_internalx4_flat;AShM-200 x4;False;4;AShM-200;650;2600;0.07;0;0.1;0;0.55;0;2.2
WeaponMount;AShM3_single;AShM-200;False;1;AShM-200;650;570;0.07;0.025;0.1;0.05;0.55;0;0.55
WeaponMount;BallisticMissile1_internalx2;Piledriver TBM x2;False;2;Piledriver TBM;2500;5000;0.02;0;0.1;0;0.55;0;1.1
WeaponMount;AAM3_double;IRM-S2 [IR] x2;False;2;IRM-S2[IR];60;200;0.01;0.01;0.1;0.12;0.18;0;0.36
WeaponMount;AAM4_double_internal_compact;AAM-36 Scimitar [R];False;2;AAM-36 Scimitar [R];200;400;0.01;0;0.1;0;2.1;0;4.2
WeaponMount;laser_testingPod;120kw High Energy Laser;False;1;;0;300;0;0;0;0.05;0;0;0
WeaponMount;turret_20mm_rotary;20mm Rotary Turret;True;1200;;0;250;0;0;0;0;0;0.5;0
WeaponMount;turret_30mm_chaingun;30mm Chaingun Turret;True;575;;0;275;0;0;0;0;0;0.7;0
WeaponMount;turret_30mm_rotary;30mm Rotary Turret;True;750;;0;350;0;0;0;0;0;0.75;0
WeaponMount;RepairContainerx2;Repair Container x2;False;2;;0;20000;0;0;0;0;0;0;0
